      16.6747      3.89982      5.85555      0.00000      0.00000
      43     600      6.37083     -107.400      8.60000      4.70000
      143.100      112.100      4780.74       1      58.1150      179.995
      8.27980      3.90262      5.44326      0.00000      0.00000
      45     600      6.59000     -101.600      10.9000      10.1000
      142.800      111.700      4765.56       1      58.1150      179.995
      8.29840      3.97395      5.92302      0.00000      0.00000
      47     600      6.80667     -97.6000      13.3000      15.3000
      142.300      112.900      4723.49       1      58.1150      179.995
      8.31657      3.83679      5.36699      0.00000      0.00000
      49     600      7.06083      91.6000      18.1000      21.3000
      141.400      70.3000      3477.06       2      74.8497      93.5352
     -17.3724      4.70867      6.62044      0.00000      0.00000
      51     600      7.29028      94.4000      15.6000      26.5000
      140.400      68.0000      3333.78       2      74.8497      93.5352
     -17.3544      4.75126      6.20573      0.00000      0.00000
      53     600      7.50667      97.6000      13.2000      31.1000
      139.200      66.5000      3185.56       1      74.8497      93.5352
     -17.3372      4.95391      6.53713      0.00000      0.00000
      56     600      7.89028      105.900      9.10000      38.9000
      136.800      67.0000      2896.17       1      74.8497      93.5352
     -17.3061      5.16270      6.08795      0.00000      0.00000
      58     600      8.10722      114.000      6.80000      43.0000
      135.200      71.0000      2720.24       1      74.8497      93.5352
     -17.2883      5.41228      6.15696      0.00000      0.00000
      60     600      8.34000      129.800      4.70000      47.1000
      133.400      82.7000      2524.08       1      74.8497      93.5352
     -17.2691      5.77136      5.68912      0.00000      0.00000
      63     600      9.06222     -121.500      5.60000      58.6000
      127.100      179.900      1891.38       1      74.8497      93.5352
     -17.2091      7.00242      6.53468      0.00000      0.00000
      65     600      9.27778     -110.400      7.70000      61.6000
      125.100      172.000      1703.02       1      74.8497      93.5352
     -17.1913      7.34355      5.98647      0.00000      0.00000
      69     600      9.67278     -99.8000      11.9000      66.9000
      121.200      166.700      1368.83       1      74.8497      93.5352
     -17.1590      8.49992      6.35634      0.00000      0.00000
      21     300      2.40056      138.500      39.8000     -70.3000
      118.000      151.200      1655.32       3      33.0560      218.708
      25.1197      6.79602      5.85766      0.00000      0.00000
      23     300      2.51750      140.900      39.0000     -68.8000
      119.200      150.200      1806.37       3      33.0560      218.708
      25.1312      6.86324      5.78714      0.00000      0.00000
      26     300      2.83667      47.0000      33.1000     -64.7000
      122.500      111.700      1529.23       3      53.4891      148.482
      3.95892      8.15121      6.02778      0.00000      0.00000
      28     300      3.03361      46.7000      31.5000     -62.1000
      124.400      108.800      1689.41       3      53.4891      148.482
      3.96805      7.32796      6.00737      0.00000      0.00000
      30     300      3.23361      46.2000      29.9000     -59.3000
      126.300      105.500      1852.01       2      53.4891      148.482
      3.97767      6.93664      6.16981      0.00000      0.00000
      32     300      3.42028      45.6000      28.5000     -56.5000
      128.000      102.100      2002.11       2      53.4891      148.482
      3.98696      6.68696      5.78759      0.00000      0.00000
      34     300      3.61694      44.7000      26.9000     -53.5000
      129.800      98.2000      2156.94       2      53.4891      148.482
      3.99705      6.37531      6.14060      0.00000      0.00000
      36     300      3.80167      43.6000      25.5000     -50.6000
      131.400      94.2000      2297.86       2      53.4891      148.482
      4.00679      6.11123      5.81341      0.00000      0.00000
      39     300      4.11694      41.2000      23.2000     -45.2000
      133.900      86.4000      2524.83       2      53.4891      148.482
      4.02395      5.76202      5.89400      0.00000      0.00000
      41     600      4.30056      39.4000      21.9000     -41.9000
      135.300      81.3000      2647.29       2      53.4891      148.482
      4.03422      5.86619      6.62383      0.00000      0.00000
      43     600      4.48556      37.2000      20.6000     -38.4000
      136.600      75.6000      2762.19       2      53.4891      148.482
      4.04477      5.42399      5.55838      0.00000      0.00000
      45     600      4.68361      34.4000      19.4000     -34.5000
      137.900      68.8000      2874.74       2      53.4891      148.482
      4.05625      5.29851      6.02060      0.00000      0.00000
      47     600      4.88500      31.0000      18.2000     -30.3000
      139.100      61.2000      2977.09       2      53.4891      148.482
      4.06809      5.29102      6.15319      0.00000      0.00000
      49     600      5.10194      26.6000      17.0000     -25.6000
      140.200      52.2000      3072.68       2      53.4891      148.482
      4.08102      5.16523      6.03027      0.00000      0.00000
      52     600      5.43389      2.80000      7.20000     -18.0000
      141.500      20.8000      3556.36       1      53.4985      163.494
      8.60625      4.51547      5.71187      0.00000      0.00000
      54     600      5.65111     -13.6000      7.40000     -12.9000
      142.200     0.800000      3627.90       1      53.4985      163.494
      8.62200      4.51559      6.05396      0.00000      0.00000
      56     600      5.86694     -27.6000      8.20000     -7.70000
      142.600      20.0000      3679.41       1      53.4985      163.494
      8.63761      4.45114      5.57127      0.00000      0.00000
      58     600      6.11694      139.200      33.9000     -1.50000
      142.800      140.800      9345.29       3      76.8859      279.501
     -12.5299      2.92737      5.01820      0.00000      0.00000
      60     600      6.41694      146.400      31.9000      5.90000
      142.700      140.500      8827.97       3      76.8859      279.501
     -12.4995      3.09688      5.49290      0.00000      0.00000
      62     600      6.70056      153.800      30.3000      12.8000
      142.200      141.000      8304.37       3      76.8859      279.501
     -12.4703      3.06742      5.54031      0.00000      0.00000
      65     600      7.08417      164.700      28.8000      21.8000
      140.900      142.900      7552.52       2      76.8859      279.501
     -12.4300      3.41392      5.34175      0.00000      0.00000
      67     600      7.38500      173.800      28.2000      28.4000
      139.500      145.300      6936.31       2      76.8859      279.501
     -12.3981      3.57061      5.79877      0.00000      0.00000
      69     600      7.66722     -177.600      28.1000      34.3000
      137.900      148.100      6344.17       2      76.8859      279.501
     -12.3681      3.67151      5.42838      0.00000      0.00000
      71     900      7.93583     -169.300      28.4000      39.6000
      136.100      151.100      5774.00       2      76.8859      279.501
     -12.3396      3.84553      5.81351      0.00000      0.00000
      74     900      8.31750     -158.200      29.6000      46.5000
      133.300      155.300      4964.42       2      76.8859      279.501
     -12.2993      4.22530      6.61755      0.00000      0.00000
      76     900      8.51750     -152.600      30.5000      49.9000
      131.600      157.500      4545.59       3      76.8859      279.501
     -12.2785      4.75468      6.47676      0.00000      0.00000
      78     900      8.72111     -147.300      31.6000      53.2000
      129.900      159.500      4126.43       3      76.8859      279.501
     -12.2574      4.77821      5.98623      0.00000      0.00000
      80     900      8.92333     -142.400      32.9000      56.3000
      128.100      161.300      3720.03       3      76.8859      279.501
     -12.2368      5.43410      5.58006      0.00000      0.00000
      82     900      9.13389     -137.600      34.4000      59.4000
      126.100      163.100      3310.23       3      76.8859      279.501
     -12.2157      5.75780      6.17551      0.00000      0.00000
      84     900      9.33639     -133.200      36.0000      62.2000
      124.200      164.600      2931.68       3      76.8859      279.501
     -12.1958      6.29548      6.08019      0.00000      0.00000
      87     600      9.75250     -159.900      29.4000      67.7000
      120.000      132.500      1418.07       2      69.9672      359.136
     -26.9204      8.69381      6.06514      0.00000      0.00000
      89     600      9.95083     -154.300      30.2000      70.1000
      118.000      135.500      1237.74       3      69.9672      359.136
     -26.9005      9.45301      6.33431      0.00000      0.00000
      91     600      10.1506     -149.000      31.3000      72.5000
      115.900      138.400      1067.63       3      69.9672      359.136
     -26.8807      9.96757      6.28432      0.00000      0.00000
      92     600      10.2506     -146.500      31.8000      73.7000
      114.900      139.800      987.110       3      69.9672      359.136
     -26.8709      10.3832      6.58046      0.00000      0.00000
      93     600      10.3506     -144.000      32.5000      74.9000
      113.800      141.100      909.849       3      69.9672      359.136
     -26.8611      10.8904      6.36294      0.00000      0.00000
      94     600      10.4511     -141.600      33.1000      76.0000
